phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.25,0,-1,1.0,87.6219072724129,43.75,122,12,0,0,273.9,23.47926199261993,297.3792619926199,-2958.0,-431.775,-3389.7749999999996,47,54,62,58,67
train,0.25,1,-1,0.999525,149.1977638548516,44.44444444444444,46,2,0,0,262.5,23.47926199261993,285.9792619926199,-1035.0,-366.04999999999995,-1401.05,67,58,65,48,50
train,0.25,2,-1,0.99905,233.86886172239625,16.319444444444446,0,0,2,2,279.7,23.47926199261993,303.1792619926199,-175.0,-399.54999999999995,-574.55,51,63,59,61,54
train,0.25,3,-1,0.998575,195.27680476481632,35.76388888888889,0,0,0,0,260.29999999999995,23.47926199261993,283.77926199261987,21.0,-407.32499999999993,-386.325,57,46,66,62,57
train,0.25,4,-1,0.9981,139.91116967624373,58.68055555555556,35,3,0,0,290.90000000000003,23.47926199261993,314.37926199261994,-681.0,-408.25,-1089.25,54,65,56,47,66
train,0.25,5,-1,0.997625,90.2639012697118,35.76388888888889,99,12,0,0,269.3,23.47926199261993,292.7792619926199,-2580.0,-395.95000000000005,-2975.9500000000003,59,58,51,66,54
train,0.25,6,-1,0.99715,169.4428726052382,63.19444444444444,0,0,0,0,258.70000000000005,23.47926199261993,282.17926199261996,258.0,-418.6,-160.6,50,49,69,60,60
train,0.25,7,-1,0.996675,207.95842522870822,51.736111111111114,0,0,44,4,300.5,23.47926199261993,323.9792619926199,-457.0,-391.42499999999995,-848.425,50,68,63,54,53
train,0.25,8,-1,0.9962,96.05592232065887,60.763888888888886,84,9,0,0,249.90000000000003,23.47926199261993,273.37926199261994,-1854.0,-414.22499999999997,-2268.2249999999995,49,57,59,66,57
train,0.25,9,-1,0.995725,155.0564832903829,87.84722222222221,0,0,0,0,295.59999999999997,23.47926199261993,319.0792619926199,471.0,-414.72499999999997,56.275000000000006,57,55,47,68,61
train,0.25,10,-1,0.99525,92.45391882021919,47.91666666666667,86,14,0,0,277.1,23.47926199261993,300.57926199261993,-2124.0,-410.84999999999997,-2534.85,56,55,57,58,62
train,0.25,11,-1,0.994775,182.572621785494,42.01388888888889,0,0,0,0,248.8,23.47926199261993,272.2792619926199,75.0,-408.125,-333.125,49,65,61,52,61
train,0.25,12,-1,0.9943,94.75157440167997,63.19444444444444,60,8,0,0,268.2,23.47926199261993,291.6792619926199,-1320.0,-405.325,-1725.325,52,69,50,56,61
train,0.25,13,-1,0.993825,132.19904548393868,84.02777777777779,0,0,0,0,292.5,23.47926199261993,315.9792619926199,426.0,-409.72499999999997,16.275000000000006,55,53,63,56,61
train,0.25,14,-1,0.99335,101.3825235418152,65.97222222222221,65,4,0,0,274.9,23.47926199261993,298.3792619926199,-1347.0,-381.975,-1728.9750000000001,55,63,68,51,51
train,0.25,15,-1,0.992875,96.24870897543627,60.06944444444444,93,10,0,0,271.4,23.47926199261993,294.8792619926199,-2067.0,-403.1,-2470.1,54,55,63,60,56
train,0.25,16,-1,0.9924,121.9565805295918,43.05555555555556,79,4,0,0,276.8,23.47926199261993,300.2792619926199,-1863.0,-382.92499999999995,-2245.9249999999997,59,55,66,59,49
train,0.25,17,-1,0.991925,130.69488455287015,64.93055555555556,41,3,0,0,231.3,23.47926199261993,254.77926199261995,-762.0,-383.0,-1145.0,58,66,55,57,52
train,0.25,18,-1,0.99145,206.20666774462467,37.5,0,0,24,1,290.5,23.47926199261993,313.9792619926199,-300.0,-406.075,-706.075,59,50,52,72,55
train,0.25,19,-1,0.990975,143.564799016485,89.23611111111111,0,0,0,0,248.0,23.47926199261993,271.4792619926199,483.0,-381.25,101.75,56,68,56,58,50
train,0.25,20,-1,0.9905,107.03222520133947,34.72222222222222,113,8,0,0,240.3,23.47926199261993,263.7792619926199,-2808.0,-394.04999999999995,-3202.0499999999997,59,59,59,53,58
train,0.25,21,-1,0.990025,86.7017292655209,46.875,90,12,0,0,269.0,23.47926199261993,292.4792619926199,-2232.0,-395.35,-2627.35,53,61,63,57,54
train,0.25,22,-1,0.98955,93.74024392075012,68.40277777777779,61,9,0,0,287.70000000000005,23.47926199261993,311.17926199261996,-1251.0,-417.575,-1668.5749999999998,50,64,57,50,67
train,0.25,23,-1,0.989075,127.76115289523298,86.11111111111111,0,0,0,0,257.7,23.47926199261993,281.1792619926199,396.0,-388.15,7.849999999999994,54,66,62,52,54
