phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.25,0,-1,1.0,147.7337345782865,46.52777777777778,42,2,0,0,276.5,23.47926199261993,299.9792619926199,-924.0,-401.975,-1325.975,62,51,55,61,59
train,0.25,1,-1,0.99905,243.76357831398784,13.88888888888889,0,0,19,6,269.5,23.47926199261993,292.9792619926199,-434.0,-396.35,-830.3499999999999,55,78,48,41,66
train,0.25,2,-1,0.9981,195.8983325425942,33.68055555555556,0,0,0,0,271.3,23.47926199261993,294.7792619926199,3.0,-390.54999999999995,-387.54999999999995,55,63,61,55,54
train,0.25,3,-1,0.99715,151.42265168016837,55.90277777777778,32,3,0,0,246.7,23.47926199261993,270.1792619926199,-603.0,-386.42499999999995,-989.4250000000001,55,73,55,48,57
train,0.25,4,-1,0.9962,81.45320910795964,31.59722222222222,137,10,0,0,266.4,23.47926199261993,289.8792619926199,-3471.0,-391.72499999999997,-3862.725,67,56,51,53,61
train,0.25,5,-1,0.99525,176.05919204968268,57.291666666666664,0,0,0,0,281.4,23.47926199261993,304.8792619926199,207.0,-407.45,-200.45,62,53,49,62,62
train,0.25,6,-1,0.9943,220.2805664562306,44.44444444444444,0,0,60,2,246.2,23.47926199261993,269.6792619926199,-744.0,-371.42499999999995,-1115.425,71,45,74,45,53
train,0.25,7,-1,0.99335,103.0213232223814,59.72222222222222,82,9,0,0,289.5,23.47926199261993,312.9792619926199,-1809.0,-398.95,-2207.95,63,48,60,59,58
train,0.25,8,-1,0.9924,151.36082356816053,87.15277777777779,0,0,0,0,270.1,23.47926199261993,293.57926199261993,465.0,-369.75,95.25,63,63,55,61,46
train,0.25,9,-1,0.99145,95.85176764084527,59.02777777777778,78,12,0,0,248.4,23.47926199261993,271.87926199261994,-1764.0,-412.95,-2176.9500000000003,54,57,49,70,58
train,0.25,10,-1,0.9905,187.08529539660518,42.70833333333333,0,0,0,0,260.70000000000005,23.47926199261993,284.17926199261996,81.0,-371.79999999999995,-290.79999999999995,66,58,63,49,52
train,0.25,11,-1,0.98955,97.11447095800929,67.70833333333334,60,5,0,0,280.20000000000005,23.47926199261993,303.67926199261996,-1242.0,-387.15,-1629.15,53,62,66,57,50
train,0.25,12,-1,0.9886,146.83550381727204,74.30555555555556,1,1,0,0,248.3,23.47926199261993,271.7792619926199,306.0,-373.375,-67.37499999999997,69,55,56,57,51
train,0.25,13,-1,0.98765,102.35500463242049,64.93055555555556,58,6,0,0,292.3,23.47926199261993,315.7792619926199,-1218.0,-405.94999999999993,-1623.9499999999998,54,57,52,71,54
train,0.25,14,-1,0.9867,91.16124082621474,54.513888888888886,103,7,0,0,281.90000000000003,23.47926199261993,305.37926199261994,-2373.0,-403.57500000000005,-2776.575,58,63,50,54,63
train,0.25,15,-1,0.98575,113.76981334229441,39.93055555555556,93,6,0,0,297.6,23.47926199261993,321.07926199261993,-2244.0,-368.17499999999995,-2612.175,64,62,65,46,51
train,0.25,16,-1,0.9848,120.11715038064807,60.06944444444444,49,3,0,0,302.0,23.47926199261993,325.4792619926199,-1056.0,-412.525,-1468.525,56,59,46,66,61
train,0.25,17,-1,0.98385,186.74659830018015,33.33333333333333,1,1,17,1,253.60000000000002,23.47926199261993,277.07926199261993,-343.0,-374.84999999999997,-717.85,66,61,50,61,50
train,0.25,18,-1,0.9829,125.49726429426258,98.26388888888889,0,0,0,0,272.1,23.47926199261993,295.57926199261993,549.0,-396.79999999999995,152.2,57,66,59,42,64
