phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,source
train,0.6,22,-1,0.9402857142857144,134.7653198498183,93.05555555555556,0,0,0,0,269.2,23.47926199261993,292.6792619926199,507.0,-880.9799999999999,-373.9799999999999,68,56,59,58,47,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,23,-1,0.9375714285714286,106.150979187692,36.80555555555556,126,9,0,0,324.3,23.47926199261993,347.7792619926199,-3060.0,-976.38,-4036.38,53,65,52,57,61,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,24,-1,0.9348571428571428,87.25846344732813,48.61111111111111,80,13,0,0,226.3,23.47926199261993,249.77926199261992,-1992.0,-940.98,-2932.98,57,59,55,66,51,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,25,-1,0.9321428571428572,90.48630561080434,58.68055555555556,76,5,0,0,268.8,23.47926199261993,292.2792619926199,-1734.0,-904.68,-2638.68,61,66,59,48,54,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,26,-1,0.9294285714285714,119.59448622856628,73.26388888888889,17,6,0,0,258.6,23.47926199261993,282.07926199261993,-186.0,-873.8999999999999,-1059.9,72,60,56,47,53,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,27,-1,0.9267142857142856,88.85171972230053,54.86111111111112,128,2,0,0,274.0,23.47926199261993,297.4792619926199,-2892.0,-943.2,-3835.2,59,66,52,51,60,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,28,-1,0.924,120.52774743123152,95.48611111111111,1,1,0,0,264.9,23.47926199261993,288.3792619926199,477.0,-898.6199999999999,-421.62,67,57,67,40,57,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,29,-1,0.9212857142857144,149.5615402017064,38.19444444444444,27,6,0,0,257.5,23.47926199261993,280.9792619926199,-708.0,-958.44,-1666.44,56,57,63,54,58,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,30,-1,0.9185714285714286,174.8351044493617,53.125,0,0,0,0,273.9,23.47926199261993,297.3792619926199,171.0,-912.0599999999998,-741.06,66,58,53,58,53,dqn_penalty_sweep_coeff_0_6_seed42.csv
train,0.6,31,-1,0.9158571428571428,110.6625629257362,88.54166666666666,8,2,0,0,252.6,23.47926199261993,276.07926199261993,216.0,-867.06,-651.06,66,64,59,52,47,dqn_penalty_sweep_coeff_0_6_seed42.csv
