phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.1,0,-1,1.0,69.80616156741655,28.125,186,6,0,0,1503.9,23.47926199261993,1527.37926199262,-3744.0,-150.39000000000001,-3894.3900000000003,68,55,62,48,55
train,0.1,1,-1,0.9982,104.56005377978339,71.52777777777779,54,10,0,0,1685.8,23.47926199261993,1709.27926199262,-1002.0,-168.58,-1170.5800000000002,58,43,64,57,66
train,0.1,2,-1,0.9964,196.43630088599915,29.86111111111111,0,0,0,0,1570.6,23.47926199261993,1594.0792619926199,-318.0,-157.06,-475.06,61,57,59,53,58
train,0.1,3,-1,0.9946,187.88388046585013,39.23611111111111,0,0,1,1,1583.1,23.47926199261993,1606.5792619926199,-245.0,-158.30999999999997,-403.31,48,69,64,52,55
train,0.1,4,-1,0.9928,224.72550377306672,13.194444444444445,0,0,3,1,1539.5,23.47926199261993,1562.97926199262,-486.0,-153.95,-639.9499999999999,48,60,74,63,43
train,0.1,5,-1,0.991,223.01470162192197,22.916666666666664,0,0,4,2,1480.6,23.47926199261993,1504.0792619926199,-410.0,-148.06,-558.06,63,72,53,46,54
train,0.1,6,-1,0.9892,169.74357746855767,67.36111111111111,0,0,0,0,1544.4,23.47926199261993,1567.87926199262,6.0,-154.44,-148.44,54,61,70,51,52
train,0.1,7,-1,0.9874,149.7716160182737,73.95833333333334,1,1,0,0,1467.8999999999999,23.47926199261993,1491.3792619926198,30.0,-146.79,-116.78999999999999,73,61,51,48,55
train,0.1,8,-1,0.9856,245.47536802926794,11.11111111111111,0,0,73,4,1714.6,23.47926199261993,1738.0792619926199,-1064.0,-171.46,-1235.46,50,52,53,71,62
train,0.1,9,-1,0.9838,107.91594120701454,77.43055555555556,46,4,0,0,1628.3999999999999,23.47926199261993,1651.8792619926198,-789.0,-162.84,-951.8400000000003,58,57,50,63,60
eval,0.1,9,0,0.0,107.87612823050883,74.30555555555556,51,10,0,0,945.5999999999999,23.47926199261993,969.0792619926199,-918.0,-94.55999999999997,-1012.5600000000002,0,259,0,29,0
eval,0.1,9,1,0.0,119.94250396455465,76.38888888888889,45,3,0,0,1118.5,23.47926199261993,1141.97926199262,-753.0,-111.85,-864.85,0,224,0,63,1
train,0.1,10,-1,0.982,222.73126811079177,30.208333333333332,0,0,48,3,1599.6999999999998,23.47926199261993,1623.1792619926198,-699.0,-159.96999999999997,-858.97,61,47,64,59,57
train,0.1,11,-1,0.9802,81.51102004346865,51.041666666666664,93,17,0,0,1452.8,23.47926199261993,1476.27926199262,-1953.0,-145.28,-2098.28,62,75,50,53,48
train,0.1,12,-1,0.9784,232.42773798421604,13.541666666666666,0,0,16,7,1650.7999999999997,23.47926199261993,1674.2792619926197,-587.0,-165.08,-752.0799999999999,52,49,65,66,56
train,0.1,13,-1,0.9766,139.34493486110648,93.40277777777779,0,0,0,0,1556.6,23.47926199261993,1580.0792619926199,231.0,-155.66000000000003,75.33999999999999,67,51,58,54,58
train,0.1,14,-1,0.9748,179.10710601060828,53.125,0,0,2,1,1727.5,23.47926199261993,1750.97926199262,-136.0,-172.75,-308.74999999999994,54,44,60,63,67
train,0.1,15,-1,0.973,228.43658857466224,15.277777777777779,0,0,24,6,1687.6,23.47926199261993,1711.0792619926199,-636.0,-168.76,-804.76,57,48,54,65,64
train,0.1,16,-1,0.9712,94.29596645858237,58.333333333333336,98,4,0,0,1472.1,23.47926199261993,1495.5792619926199,-1902.0,-147.21,-2049.21,67,60,57,55,49
train,0.1,17,-1,0.9694,213.43707441977747,7.986111111111111,0,0,0,0,1649.1,23.47926199261993,1672.5792619926199,-507.0,-164.91,-671.9100000000001,57,48,66,54,63
train,0.1,18,-1,0.9676,130.4540538348648,67.01388888888889,31,2,0,0,1569.1,23.47926199261993,1592.5792619926199,-600.0,-156.91,-756.91,61,56,63,49,59
train,0.1,19,-1,0.9658,112.73062574581115,66.31944444444444,53,2,0,0,1452.8000000000002,23.47926199261993,1476.2792619926201,-1029.0,-145.28,-1174.2800000000002,63,67,61,49,48
eval,0.1,19,0,0.0,191.21790789624725,32.29166666666667,0,0,0,0,803.6000000000001,23.47926199261993,827.0792619926201,-297.0,-80.35999999999999,-377.3599999999999,1,287,0,0,0
eval,0.1,19,1,0.0,127.53249625796747,75.34722222222221,10,4,0,0,806.4000000000001,23.47926199261993,829.8792619926201,-198.0,-80.63999999999999,-278.6400000000001,0,288,0,0,0
