phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,source
train,0.25,0,-1,1.0,177.32961032510397,35.41666666666667,0,0,0,0,276.8,23.47926199261993,300.2792619926199,18.0,-420.525,-402.525,57,49,49,72,61,dqn_penalty_sweep_coeff_0_25_seed42.csv
train,0.25,1,-1,0.9972857142857144,187.22279421064184,41.31944444444444,0,0,0,0,260.6,23.47926199261993,284.07926199261993,69.0,-379.32499999999993,-310.32500000000005,59,72,56,44,57,dqn_penalty_sweep_coeff_0_25_seed42.csv
train,0.25,2,-1,0.9945714285714286,153.46282777474573,77.43055555555556,0,0,0,0,284.90000000000003,23.47926199261993,308.37926199261994,378.0,-393.725,-15.725000000000009,61,51,66,53,57,dqn_penalty_sweep_coeff_0_25_seed42.csv
train,0.25,3,-1,0.9918571428571428,81.50007211357445,40.625,146,10,0,0,301.7,23.47926199261993,325.1792619926199,-3516.0,-388.925,-3904.925,58,65,57,51,57,dqn_penalty_sweep_coeff_0_25_seed42.csv
train,0.25,4,-1,0.9891428571428572,153.38848329085488,37.15277777777778,42,2,0,0,312.6,23.47926199261993,336.07926199261993,-1005.0,-394.05,-1399.0500000000002,49,69,55,65,50,dqn_penalty_sweep_coeff_0_25_seed42.csv
train,0.25,5,-1,0.9864285714285714,254.0907367223963,11.11111111111111,0,0,72,16,289.6,23.47926199261993,313.07926199261993,-1200.0,-374.7,-1574.7,63,58,60,59,48,dqn_penalty_sweep_coeff_0_25_seed42.csv
train,0.25,6,-1,0.9837142857142858,190.76543245500645,41.31944444444444,0,0,0,0,267.29999999999995,23.47926199261993,290.77926199261987,69.0,-375.4,-306.40000000000003,61,60,61,58,48,dqn_penalty_sweep_coeff_0_25_seed42.csv
train,0.25,7,-1,0.981,141.89069786803296,58.68055555555556,36,3,0,0,282.8,23.47926199261993,306.2792619926199,-702.0,-387.375,-1089.3749999999998,56,68,56,53,55,dqn_penalty_sweep_coeff_0_25_seed42.csv
train,0.25,8,-1,0.9782857142857144,84.43586681275552,34.375,120,10,0,0,306.2,23.47926199261993,329.6792619926199,-3066.0,-403.025,-3469.025,61,52,58,56,61,dqn_penalty_sweep_coeff_0_25_seed42.csv
train,0.25,9,-1,0.9755714285714284,182.35728232746035,54.513888888888886,0,0,0,0,283.70000000000005,23.47926199261993,307.17926199262,183.0,-408.275,-225.275,58,48,55,72,55,dqn_penalty_sweep_coeff_0_25_seed42.csv
