phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.25,0,-1,1.0,194.14987754397498,29.51388888888889,0,0,0,0,265.2,23.47926199261993,288.6792619926199,-33.0,-413.15,-446.15,51,54,62,63,58
train,0.25,1,-1,0.9972857142857143,168.52966805252348,64.93055555555556,0,0,0,0,300.2,23.47926199261993,323.6792619926199,273.0,-386.0,-112.99999999999997,63,62,58,45,60
train,0.25,2,-1,0.9945714285714286,86.1920494213297,43.75,127,14,0,0,287.5,23.47926199261993,310.9792619926199,-3063.0,-401.575,-3464.575,53,58,68,50,59
train,0.25,3,-1,0.9918571428571429,157.30477882698017,29.51388888888889,42,2,0,0,293.0,23.47926199261993,316.4792619926199,-1071.0,-420.42499999999995,-1491.425,44,51,74,62,57
train,0.25,4,-1,0.9891428571428571,240.2047992223963,15.277777777777779,0,0,13,3,297.29999999999995,23.47926199261993,320.77926199261987,-338.0,-417.6,-755.6,59,56,48,57,68
train,0.25,5,-1,0.9864285714285714,198.71517282037192,32.98611111111111,0,0,0,0,265.7,23.47926199261993,289.1792619926199,-3.0,-373.69999999999993,-376.69999999999993,64,59,64,49,52
train,0.25,6,-1,0.9837142857142858,137.2103972549199,56.25,43,5,0,0,263.70000000000005,23.47926199261993,287.17926199261996,-894.0,-369.275,-1263.275,55,59,72,63,39
train,0.25,7,-1,0.981,82.5296291715722,29.166666666666668,139,12,0,0,266.7,23.47926199261993,290.1792619926199,-3549.0,-383.05,-3932.05,53,66,65,54,50
train,0.25,8,-1,0.9782857142857143,162.40901843857148,62.84722222222222,0,0,0,0,276.7,23.47926199261993,300.1792619926199,237.0,-419.275,-182.27499999999998,52,60,56,53,67
train,0.25,9,-1,0.9755714285714285,231.5253887756941,37.84722222222222,0,0,79,4,256.0,23.47926199261993,279.4792619926199,-1067.0,-369.92499999999995,-1436.9250000000002,53,66,75,49,45
train,0.25,10,-1,0.9728571428571429,105.29280305156901,57.986111111111114,82,7,0,0,277.0,23.47926199261993,300.4792619926199,-1848.0,-381.325,-2229.325,75,52,51,49,61
train,0.25,11,-1,0.9701428571428572,150.2017957903828,88.54166666666666,0,0,0,0,285.4,23.47926199261993,308.8792619926199,477.0,-386.92499999999995,90.07499999999999,63,50,51,79,45
train,0.25,12,-1,0.9674285714285714,89.82829730989027,41.31944444444444,97,20,0,0,288.7,23.47926199261993,312.1792619926199,-2469.0,-434.05,-2903.05,49,52,62,55,70
train,0.25,13,-1,0.9647142857142857,173.3271356743829,51.041666666666664,0,0,0,0,233.5,23.47926199261993,256.9792619926199,153.0,-389.9,-236.89999999999998,55,72,50,55,56
train,0.25,14,-1,0.962,92.6124324944502,65.625,71,8,0,0,288.5,23.47926199261993,311.9792619926199,-1509.0,-392.35,-1901.3500000000004,56,57,66,55,54
train,0.25,15,-1,0.9592857142857143,148.29140659504986,75.69444444444444,0,0,0,0,252.7,23.47926199261993,276.1792619926199,351.0,-397.825,-46.82499999999998,56,66,48,61,57
train,0.25,16,-1,0.9565714285714286,100.70389048597968,62.84722222222222,71,4,0,0,266.9,23.47926199261993,290.3792619926199,-1521.0,-387.325,-1908.3249999999998,65,50,66,50,57
train,0.25,17,-1,0.9538571428571428,95.317300136569,58.68055555555556,93,7,0,0,258.2,23.47926199261993,281.6792619926199,-2091.0,-415.15,-2506.15,53,55,59,59,62
train,0.25,18,-1,0.9511428571428572,118.68496980484734,44.79166666666667,80,3,0,0,287.0,23.47926199261993,310.4792619926199,-1872.0,-410.25,-2282.25,54,61,53,58,62
train,0.25,19,-1,0.9484285714285714,111.5824448449969,61.111111111111114,47,5,0,0,260.7,23.47926199261993,284.1792619926199,-1026.0,-384.875,-1410.875,62,60,64,43,59
train,0.25,20,-1,0.9457142857142857,189.78635524462464,39.58333333333333,0,0,17,1,280.1,23.47926199261993,303.57926199261993,-208.0,-400.57499999999993,-608.5749999999999,60,53,59,57,59
train,0.25,21,-1,0.9430000000000001,129.52938234981818,96.52777777777779,0,0,0,0,273.3,23.47926199261993,296.7792619926199,534.0,-383.67499999999995,150.325,58,58,66,55,51
train,0.25,22,-1,0.9402857142857143,107.29838820014749,31.944444444444443,117,9,0,0,229.7,23.47926199261993,253.17926199261993,-2919.0,-361.1,-3280.1,60,77,55,48,48
train,0.25,23,-1,0.9375714285714286,84.58425676069626,45.13888888888889,88,11,0,0,293.30000000000007,23.47926199261993,316.77926199262,-2220.0,-400.72499999999997,-2620.7250000000004,58,61,54,54,61
train,0.25,24,-1,0.9348571428571428,91.22360443522666,60.763888888888886,71,8,0,0,255.7,23.47926199261993,279.1792619926199,-1590.0,-389.75,-1979.7499999999998,56,65,56,57,54
train,0.25,25,-1,0.9321428571428572,135.65629178412192,88.19444444444444,0,0,0,0,301.1,23.47926199261993,324.57926199261993,450.0,-394.0,55.99999999999999,55,61,63,53,56
train,0.25,26,-1,0.9294285714285714,84.43535901804675,47.56944444444444,130,4,0,0,251.70000000000002,23.47926199261993,275.17926199261996,-3060.0,-378.025,-3438.024999999999,61,67,54,53,53
train,0.25,27,-1,0.9267142857142857,100.35054561907727,76.73611111111111,41,5,0,0,278.5,23.47926199261993,301.9792619926199,-687.0,-398.19999999999993,-1085.2000000000003,51,65,54,66,52
train,0.25,28,-1,0.924,146.95963047948413,44.79166666666667,20,5,0,0,289.6,23.47926199261993,313.07926199261993,-465.0,-381.3,-846.3000000000001,66,60,53,53,56
train,0.25,29,-1,0.9212857142857143,194.71288222713963,27.77777777777778,0,0,0,0,262.6,23.47926199261993,286.07926199261993,-48.0,-357.825,-405.825,71,61,52,59,45
train,0.25,30,-1,0.9185714285714286,134.272347650671,98.26388888888889,0,0,0,0,287.4,23.47926199261993,310.8792619926199,552.0,-394.925,157.075,58,60,57,56,57
train,0.25,31,-1,0.9158571428571429,260.42880538089383,4.861111111111112,0,0,54,8,274.9,23.47926199261993,298.3792619926199,-1002.0,-379.775,-1381.775,72,56,44,61,55
train,0.25,32,-1,0.9131428571428571,137.1804549948748,73.95833333333334,1,1,0,0,243.1,23.47926199261993,266.57926199261993,258.0,-368.29999999999995,-110.3,69,69,48,46,56
train,0.25,33,-1,0.9104285714285714,87.07197801189086,37.84722222222222,133,10,0,0,260.3,23.47926199261993,283.7792619926199,-3255.0,-383.79999999999995,-3638.8,60,54,62,64,48
train,0.25,34,-1,0.9077142857142857,59.699787476826195,13.88888888888889,220,8,0,0,202.2,23.47926199261993,225.67926199261993,-5532.0,-371.9,-5903.9,66,69,44,57,52
train,0.25,35,-1,0.905,112.65200348852403,44.79166666666667,66,11,0,0,253.09999999999997,23.47926199261993,276.5792619926199,-1614.0,-389.37499999999994,-2003.375,64,42,69,62,51
train,0.25,36,-1,0.9022857142857142,179.39243887758306,50.69444444444444,0,0,0,0,267.3,23.47926199261993,290.7792619926199,150.0,-359.35,-209.35,78,52,55,53,50
train,0.25,37,-1,0.8995714285714286,179.9214849589716,46.52777777777778,0,0,0,0,217.5,23.47926199261993,240.97926199261994,114.0,-347.875,-233.875,69,64,70,38,47
train,0.25,38,-1,0.8968571428571429,196.71229451581868,24.305555555555554,0,0,0,0,269.4,23.47926199261993,292.8792619926199,-78.0,-349.2,-427.20000000000005,80,50,64,46,48
train,0.25,39,-1,0.8941428571428571,92.62428999690184,43.75,99,12,0,0,223.10000000000002,23.47926199261993,246.57926199261996,-2436.0,-349.725,-2785.725,63,81,51,48,45
train,0.25,40,-1,0.8914285714285715,162.54859214933555,63.541666666666664,0,0,0,0,250.10000000000002,23.47926199261993,273.57926199261993,249.0,-394.325,-145.325,63,59,53,52,61
train,0.25,41,-1,0.8887142857142857,88.04216358948884,59.02777777777778,61,8,0,0,250.9,23.47926199261993,274.37926199261994,-1413.0,-368.85,-1781.85,65,67,51,55,50
train,0.25,42,-1,0.886,95.77125084285946,67.01388888888889,71,4,0,0,275.0,23.47926199261993,298.4792619926199,-1485.0,-407.07499999999993,-1892.075,49,58,57,73,51
train,0.25,43,-1,0.8832857142857142,82.16460692361845,46.18055555555556,124,8,0,0,289.20000000000005,23.47926199261993,312.67926199261996,-2958.0,-411.375,-3369.375,57,61,52,51,67
train,0.25,44,-1,0.8805714285714286,101.43247089271237,66.66666666666666,68,11,0,0,282.5,23.47926199261993,305.9792619926199,-1428.0,-379.95,-1807.9499999999998,71,50,55,58,54
train,0.25,45,-1,0.8778571428571429,246.99072001728211,0.6944444444444444,0,0,38,4,296.4,23.47926199261993,319.8792619926199,-814.0,-361.1,-1175.1,69,61,58,52,48
train,0.25,46,-1,0.8751428571428571,87.02539018909339,56.94444444444444,70,11,0,0,265.7,23.47926199261993,289.1792619926199,-1638.0,-402.79999999999995,-2040.8000000000002,58,53,63,54,60
train,0.25,47,-1,0.8724285714285714,152.58840677558703,76.38888888888889,1,1,0,0,292.4,23.47926199261993,315.8792619926199,327.0,-375.9,-48.90000000000001,58,69,60,49,52
train,0.25,48,-1,0.8697142857142857,104.45339896468994,66.66666666666666,84,7,0,0,280.9,23.47926199261993,304.3792619926199,-1764.0,-363.6,-2127.6,73,45,64,62,44
train,0.25,49,-1,0.867,165.46683595986087,55.208333333333336,11,1,0,0,273.1,23.47926199261993,296.57926199261993,-87.0,-363.45,-450.44999999999993,75,51,59,53,50
eval,0.25,49,0,0.0,162.74732920043513,71.875,0,0,0,0,297.1,23.47926199261993,320.57926199261993,333.0,-207.54999999999998,125.45000000000005,143,19,103,1,22
eval,0.25,49,1,0.0,265.3681305090916,17.01388888888889,0,0,138,1,207.0,23.47926199261993,230.47926199261994,-2073.0,-122.75,-2195.75,205,9,59,1,14
eval,0.25,49,2,0.0,189.0215158959907,37.5,0,0,0,0,279.9,23.47926199261993,303.3792619926199,36.0,-192.0,-156.0,155,15,96,2,20
train,0.25,50,-1,0.8642857142857143,104.31903452496287,73.95833333333334,45,3,0,0,273.70000000000005,23.47926199261993,297.17926199261996,-798.0,-348.75,-1146.75,57,76,65,52,38
train,0.25,51,-1,0.8615714285714285,161.63351904009713,85.06944444444444,0,0,0,0,257.7,23.47926199261993,281.1792619926199,447.0,-352.65,94.35,69,59,63,55,42
