phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.25,0,-1,1.0,170.83030476954843,48.61111111111111,0,0,0,0,274.9,23.47926199261993,298.3792619926199,111.0,-388.42499999999995,-277.425,59,58,53,69,49
train,0.25,1,-1,0.99905,180.26654421064183,52.77777777777778,0,0,0,0,279.70000000000005,23.47926199261993,303.17926199261996,168.0,-376.54999999999995,-208.54999999999998,70,55,54,55,54
train,0.25,2,-1,0.9981,174.83366110807913,64.23611111111111,0,0,0,0,308.0,23.47926199261993,331.4792619926199,267.0,-401.475,-134.47499999999997,60,61,51,53,63
train,0.25,3,-1,0.99715,85.95482365360537,44.44444444444444,113,17,0,0,286.59999999999997,23.47926199261993,310.0792619926199,-2757.0,-412.42499999999995,-3169.4249999999997,50,61,59,57,61
train,0.25,4,-1,0.9962,148.0153303135098,47.22222222222222,42,2,0,0,263.6,23.47926199261993,287.07926199261993,-918.0,-392.125,-1310.125,66,52,53,60,57
train,0.25,5,-1,0.99525,250.10080616684093,12.5,0,0,39,14,243.5,23.47926199261993,266.9792619926199,-726.0,-387.42499999999995,-1113.4250000000002,61,58,63,49,57
train,0.25,6,-1,0.9943,187.25492976481638,45.48611111111111,0,0,0,0,270.2,23.47926199261993,293.6792619926199,105.0,-360.07499999999993,-255.07500000000005,66,72,54,45,51
train,0.25,7,-1,0.99335,135.06368804571053,60.763888888888886,38,3,0,0,258.8,23.47926199261993,282.2792619926199,-738.0,-383.59999999999997,-1121.6,61,59,58,58,52
train,0.25,8,-1,0.9924,88.52533082059898,36.45833333333333,110,10,0,0,286.3,23.47926199261993,309.7792619926199,-2802.0,-411.42499999999995,-3213.4249999999997,59,40,72,56,61
train,0.25,9,-1,0.99145,185.04478232746052,51.736111111111114,0,0,0,0,280.70000000000005,23.47926199261993,304.17926199261996,159.0,-381.47499999999997,-222.47499999999997,64,62,53,54,55
train,0.25,10,-1,0.9905,207.31755154252198,53.125,0,0,54,2,269.19999999999993,23.47926199261993,292.67926199261984,-585.0,-389.35,-974.35,60,52,68,54,54
train,0.25,11,-1,0.98955,94.98787294644548,58.333333333333336,84,9,0,0,253.2,23.47926199261993,276.6792619926199,-1896.0,-406.79999999999995,-2302.7999999999997,62,48,55,63,60
train,0.25,12,-1,0.9886,157.36880967927175,85.41666666666666,0,0,0,0,278.9,23.47926199261993,302.3792619926199,450.0,-397.0,53.0,57,60,55,60,56
train,0.25,13,-1,0.98765,92.56449258168053,51.041666666666664,92,10,0,0,263.7,23.47926199261993,287.1792619926199,-2190.0,-374.025,-2564.0249999999996,73,49,58,55,53
train,0.25,14,-1,0.9867,182.54345511882744,43.40277777777778,0,0,0,0,266.1,23.47926199261993,289.57926199261993,87.0,-435.975,-348.97499999999997,43,65,48,65,67
train,0.25,15,-1,0.98575,90.37667838328619,62.84722222222222,82,9,0,0,315.79999999999995,23.47926199261993,339.27926199261987,-1788.0,-408.45,-2196.45,47,66,59,58,58
train,0.25,16,-1,0.9848,150.0971357617166,76.73611111111111,0,0,0,0,272.1,23.47926199261993,295.57926199261993,366.0,-422.625,-56.625,48,58,55,66,61
train,0.25,17,-1,0.98385,98.96913261421497,68.75,63,6,0,0,277.20000000000005,23.47926199261993,300.67926199261996,-1287.0,-380.5,-1667.5000000000002,71,51,56,54,56
