phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.25,0,-1,1.0,92.05573239458779,49.65277777777778,109,10,0,0,246.8,23.47926199261993,270.2792619926199,-2583.0,-400.875,-2983.8749999999995,46,79,52,52,59
train,0.25,1,-1,0.99905,161.95737166710887,26.38888888888889,46,2,0,0,268.4,23.47926199261993,291.8792619926199,-1191.0,-407.075,-1598.0749999999998,60,54,55,56,63
train,0.25,2,-1,0.9981,238.17580616684083,14.583333333333334,0,0,13,7,309.9,23.47926199261993,333.3792619926199,-344.0,-403.0,-747.0,57,62,57,48,64
train,0.25,3,-1,0.99715,172.04121448703836,53.125,0,0,0,0,298.1,23.47926199261993,321.57926199261993,171.0,-393.475,-222.47499999999997,67,49,57,56,59
train,0.25,4,-1,0.9962,138.006516656766,65.625,33,3,0,0,262.40000000000003,23.47926199261993,285.87926199261994,-552.0,-398.85,-950.85,50,64,61,59,54
train,0.25,5,-1,0.99525,90.24566232704824,37.5,103,16,0,0,245.89999999999998,23.47926199261993,269.3792619926199,-2634.0,-398.9,-3032.8999999999996,60,56,58,54,60
train,0.25,6,-1,0.9943,152.84686566079372,67.70833333333334,8,2,0,0,294.40000000000003,23.47926199261993,317.87926199261994,93.0,-387.5,-294.5,52,70,58,56,52
train,0.25,7,-1,0.99335,213.23646923400838,50.34722222222222,0,0,58,1,274.0,23.47926199261993,297.4792619926199,-665.0,-373.54999999999995,-1038.5499999999997,65,59,58,56,50
train,0.25,8,-1,0.9924,93.70248180728623,55.90277777777778,89,9,0,0,299.9,23.47926199261993,323.3792619926199,-2043.0,-412.67499999999995,-2455.6749999999997,62,52,52,55,67
train,0.25,9,-1,0.99145,165.94849717927178,79.51388888888889,0,0,0,0,286.8,23.47926199261993,310.2792619926199,399.0,-406.54999999999995,-7.550000000000001,58,56,56,56,62
train,0.25,10,-1,0.9905,98.192008852706,59.72222222222222,73,11,0,0,223.0,23.47926199261993,246.47926199261994,-1641.0,-366.84999999999997,-2007.85,63,66,54,59,46
train,0.25,11,-1,0.98955,184.2339065077162,43.40277777777778,0,0,0,0,269.29999999999995,23.47926199261993,292.77926199261987,87.0,-383.9,-296.90000000000003,68,50,61,53,56
train,0.25,12,-1,0.9886,88.93318080334643,60.763888888888886,85,7,0,0,322.5,23.47926199261993,345.9792619926199,-1887.0,-393.82499999999993,-2280.825,58,65,50,58,57
train,0.25,13,-1,0.98765,130.93237881727197,67.36111111111111,3,1,0,0,291.7,23.47926199261993,315.1792619926199,138.0,-390.125,-252.12499999999994,63,59,52,57,57
train,0.25,14,-1,0.9867,97.83513649680741,67.36111111111111,66,3,0,0,296.4,23.47926199261993,319.8792619926199,-1356.0,-414.22499999999997,-1770.2250000000001,41,65,67,58,57
train,0.25,15,-1,0.98575,88.02169828607141,52.77777777777778,109,8,0,0,261.6,23.47926199261993,285.07926199261993,-2529.0,-400.04999999999995,-2929.05,52,61,59,62,54
train,0.25,16,-1,0.9848,119.66428715945979,38.88888888888889,88,4,0,0,323.9,23.47926199261993,347.3792619926199,-2127.0,-410.825,-2537.8250000000003,71,53,32,63,69
train,0.25,17,-1,0.98385,125.12377575900074,59.72222222222222,58,6,0,0,313.8,23.47926199261993,337.2792619926199,-1230.0,-404.1,-1634.0999999999997,66,55,43,60,64
train,0.25,18,-1,0.9829,192.90788302240242,36.11111111111111,0,0,16,1,321.2,23.47926199261993,344.6792619926199,-236.0,-413.15,-649.1499999999999,52,60,56,58,62
train,0.25,19,-1,0.98195,118.25264623870703,92.70833333333334,7,1,0,0,289.90000000000003,23.47926199261993,313.37926199261994,306.0,-403.29999999999995,-97.29999999999997,53,64,64,43,64
train,0.25,20,-1,0.981,100.419696831976,40.625,122,8,0,0,278.70000000000005,23.47926199261993,302.17926199261996,-2973.0,-402.625,-3375.625,59,52,57,63,57
