phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.25,0,-1,1.0,189.43053610807934,45.83333333333333,0,0,0,0,289.7,23.47926199261993,313.1792619926199,108.0,-403.575,-295.57500000000005,62,45,63,59,59
train,0.25,1,-1,0.99905,83.11392674124637,39.93055555555556,130,16,0,0,287.5,23.47926199261993,310.9792619926199,-3192.0,-419.875,-3611.875,61,47,60,49,71
train,0.25,2,-1,0.9981,150.24779559128754,40.27777777777778,42,2,0,0,261.5,23.47926199261993,284.9792619926199,-978.0,-383.6,-1361.6,73,54,48,53,60
train,0.25,3,-1,0.99715,254.07997283350747,12.152777777777777,0,0,70,10,266.7,23.47926199261993,290.1792619926199,-1163.0,-403.09999999999997,-1566.1,58,51,59,64,56
train,0.25,4,-1,0.9962,185.9559714314829,44.79166666666667,0,0,0,0,249.09999999999997,23.47926199261993,272.5792619926199,99.0,-416.0999999999999,-317.09999999999997,61,43,60,60,64
train,0.25,5,-1,0.99525,140.5579272779135,64.58333333333334,36,2,0,0,279.9,23.47926199261993,303.3792619926199,-630.0,-396.825,-1026.8249999999998,54,56,65,60,53
train,0.25,6,-1,0.9943,90.7508797966773,37.5,110,15,0,0,253.8,23.47926199261993,277.2792619926199,-2775.0,-397.75,-3172.7499999999995,60,59,51,60,58
train,0.25,7,-1,0.99335,183.22365651414714,52.43055555555556,0,0,0,0,303.5,23.47926199261993,326.9792619926199,165.0,-384.625,-219.625,64,62,45,64,53
train,0.25,8,-1,0.9924,228.70382971663497,42.36111111111111,0,0,79,4,273.20000000000005,23.47926199261993,296.67926199261996,-1028.0,-389.425,-1417.425,52,63,62,62,49
train,0.25,9,-1,0.99145,102.81023146192894,59.72222222222222,83,9,0,0,285.0,23.47926199261993,308.4792619926199,-1839.0,-398.65,-2237.65,60,53,53,68,54
train,0.25,10,-1,0.9905,159.51585829038274,86.45833333333334,0,0,0,0,268.4,23.47926199261993,291.8792619926199,459.0,-380.425,78.57500000000002,63,63,52,57,53
train,0.25,11,-1,0.98955,97.39686940445368,60.416666666666664,66,10,0,0,273.4,23.47926199261993,296.8792619926199,-1488.0,-398.125,-1886.1249999999998,63,57,51,56,61
train,0.25,12,-1,0.9886,184.08303845216068,42.70833333333333,0,0,0,0,275.0,23.47926199261993,298.4792619926199,81.0,-387.625,-306.625,54,59,73,49,53
train,0.25,13,-1,0.98765,93.98810095709271,63.888888888888886,71,8,0,0,243.0,23.47926199261993,266.4792619926199,-1539.0,-378.02500000000003,-1917.025,63,58,57,61,49
train,0.25,14,-1,0.9867,154.8710940950498,72.91666666666666,0,0,3,2,250.59999999999997,23.47926199261993,274.0792619926199,285.0,-388.725,-103.725,63,59,54,55,57
train,0.25,15,-1,0.98575,104.17447772948744,67.36111111111111,63,5,0,0,248.10000000000002,23.47926199261993,271.57926199261993,-1275.0,-383.95,-1658.95,61,66,56,47,58
train,0.25,16,-1,0.9848,94.11421325453999,56.25,93,8,0,0,295.09999999999997,23.47926199261993,318.5792619926199,-2133.0,-419.6,-2552.6,43,68,54,63,60
train,0.25,17,-1,0.98385,120.10071397293288,43.40277777777778,81,4,0,0,252.79999999999998,23.47926199261993,276.2792619926199,-1908.0,-400.325,-2308.3250000000003,61,56,55,55,61
train,0.25,18,-1,0.9829,117.0338452034451,61.80555555555556,59,7,0,0,310.9,23.47926199261993,334.3792619926199,-1251.0,-405.65,-1656.6499999999999,56,43,71,64,54
train,0.25,19,-1,0.98195,185.97437607795797,36.80555555555556,0,0,17,1,317.4,23.47926199261993,340.8792619926199,-265.0,-415.65,-680.65,61,46,52,67,62
train,0.25,20,-1,0.981,126.76397788285122,98.26388888888889,0,0,0,0,250.0,23.47926199261993,273.4792619926199,552.0,-367.0,185.0,62,59,65,58,44
train,0.25,21,-1,0.98005,106.3915011771447,37.84722222222222,112,7,0,0,240.10000000000002,23.47926199261993,263.57926199261993,-2757.0,-370.25,-3127.2500000000005,58,81,44,55,50
train,0.25,22,-1,0.9791,90.6342946487968,55.90277777777778,66,11,0,0,248.39999999999998,23.47926199261993,271.8792619926199,-1572.0,-372.9,-1944.9,65,61,52,62,48
train,0.25,23,-1,0.97815,93.13004309492432,66.31944444444444,64,8,0,0,298.4,23.47926199261993,321.8792619926199,-1350.0,-407.2,-1757.1999999999998,62,50,58,54,64
train,0.25,24,-1,0.9772,126.3588959507885,82.98611111111111,2,2,0,0,286.6,23.47926199261993,310.07926199261993,315.0,-375.34999999999997,-60.34999999999999,69,50,60,59,50
train,0.25,25,-1,0.97625,81.56629666404794,45.48611111111111,142,5,0,0,284.0,23.47926199261993,307.4792619926199,-3348.0,-405.675,-3753.675,57,57,60,51,63
train,0.25,26,-1,0.9753000000000001,119.52062937567598,93.40277777777779,4,2,0,0,256.4,23.47926199261993,279.8792619926199,378.0,-378.59999999999997,-0.5999999999999943,63,60,58,55,52
