phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.4,0,-1,1.0,189.0026553217528,38.88888888888889,0,0,0,0,242.90000000000003,23.47926199261993,266.37926199261994,48.0,-640.28,-592.28,58,53,58,64,55
train,0.4,1,-1,0.9972857142857143,177.8326194414127,58.333333333333336,0,0,0,0,339.4,23.47926199261993,362.8792619926199,216.0,-607.96,-391.96000000000004,71,51,55,56,55
train,0.4,2,-1,0.9945714285714286,85.08494861746104,43.40277777777778,125,15,0,0,250.0,23.47926199261993,273.4792619926199,-3027.0,-611.4000000000001,-3638.4000000000005,57,67,59,52,53
train,0.4,3,-1,0.9918571428571429,150.48052799474368,39.93055555555556,42,2,0,0,302.1,23.47926199261993,325.57926199261993,-981.0,-638.04,-1619.04,55,56,63,59,55
train,0.4,4,-1,0.9891428571428571,234.8518478335075,18.055555555555554,0,0,9,1,270.0,23.47926199261993,293.4792619926199,-258.0,-658.96,-916.96,56,60,54,52,66
train,0.4,5,-1,0.9864285714285714,186.04017282037174,42.36111111111111,0,0,0,0,252.79999999999998,23.47926199261993,276.2792619926199,78.0,-631.8399999999999,-553.84,58,59,57,58,56
train,0.4,6,-1,0.9837142857142858,127.13782129848538,60.416666666666664,50,6,0,0,294.4,23.47926199261993,317.8792619926199,-1011.0,-701.56,-1712.5599999999997,37,66,52,70,63
train,0.4,7,-1,0.981,89.91508493693168,34.72222222222222,108,17,0,0,281.8,23.47926199261993,305.2792619926199,-2781.0,-630.9599999999999,-3411.96,65,58,44,63,58
train,0.4,8,-1,0.9782857142857143,177.9385323274604,56.25,0,0,0,0,246.2,23.47926199261993,269.6792619926199,198.0,-607.16,-409.15999999999997,55,61,68,57,47
train,0.4,9,-1,0.9755714285714285,219.21189745093054,41.31944444444444,0,0,56,3,274.2,23.47926199261993,297.6792619926199,-715.0,-641.52,-1356.52,54,60,61,55,58
train,0.4,10,-1,0.9728571428571429,101.70956695292259,57.986111111111114,89,8,0,0,262.2,23.47926199261993,285.6792619926199,-1995.0,-597.36,-2592.3599999999997,55,68,70,45,50
train,0.4,11,-1,0.9701428571428572,160.06047634593835,84.72222222222221,0,0,0,0,259.29999999999995,23.47926199261993,282.77926199261987,444.0,-618.04,-174.04000000000002,58,64,59,52,55
train,0.4,12,-1,0.9674285714285714,86.43195457933682,38.54166666666667,120,18,0,0,245.10000000000002,23.47926199261993,268.57926199261993,-3003.0,-690.44,-3693.4400000000005,44,54,67,58,65
train,0.4,13,-1,0.9647142857142857,173.80630234104953,53.81944444444444,0,0,0,0,299.20000000000005,23.47926199261993,322.67926199261996,177.0,-656.16,-479.16,51,65,51,61,60
train,0.4,14,-1,0.962,91.48287772359616,62.84722222222222,75,10,0,0,273.7,23.47926199261993,297.1792619926199,-1641.0,-668.72,-2309.7200000000003,53,62,50,57,66
train,0.4,15,-1,0.9592857142857143,151.0290802061608,76.04166666666666,0,0,0,0,237.0,23.47926199261993,260.4792619926199,357.0,-591.92,-234.92000000000002,63,71,48,56,50
train,0.4,16,-1,0.9565714285714286,97.3864888300704,64.93055555555556,67,6,0,0,291.2,23.47926199261993,314.6792619926199,-1419.0,-625.16,-2044.1599999999999,56,69,53,53,57
train,0.4,17,-1,0.9538571428571428,95.53270878634764,60.06944444444444,96,6,0,0,270.2,23.47926199261993,293.6792619926199,-2130.0,-599.8,-2729.8,57,71,52,61,47
train,0.4,18,-1,0.9511428571428572,115.07817605652066,40.27777777777778,87,5,0,0,279.5,23.47926199261993,302.9792619926199,-2097.0,-662.8399999999999,-2759.84,49,66,54,56,63
train,0.4,19,-1,0.9484285714285714,128.0644805711092,62.84722222222222,45,2,0,0,247.79999999999998,23.47926199261993,271.2792619926199,-909.0,-628.4399999999999,-1537.44,53,56,70,58,51
train,0.4,20,-1,0.9457142857142857,189.74937607795798,32.63888888888889,1,1,19,1,230.2,23.47926199261993,253.67926199261993,-377.0,-585.1199999999999,-962.1200000000001,63,62,66,49,48
train,0.4,21,-1,0.9430000000000001,137.84813234981831,93.75,0,0,0,0,262.4,23.47926199261993,285.8792619926199,516.0,-628.3199999999999,-112.32,59,61,61,47,60
train,0.4,22,-1,0.9402857142857143,104.62647680445346,30.90277777777778,122,12,0,0,268.29999999999995,23.47926199261993,291.77926199261987,-3057.0,-622.56,-3679.5600000000004,61,62,59,46,60
train,0.4,23,-1,0.9375714285714286,83.1726590725692,43.40277777777778,97,12,0,0,279.0,23.47926199261993,302.4792619926199,-2439.0,-634.1599999999999,-3073.16,50,69,63,48,58
train,0.4,24,-1,0.9348571428571428,93.14254309492429,65.625,69,7,0,0,262.7,23.47926199261993,286.1792619926199,-1467.0,-635.9200000000001,-2102.92,54,53,64,67,50
train,0.4,25,-1,0.9321428571428572,141.30021539523295,80.20833333333334,0,0,0,0,252.79999999999998,23.47926199261993,276.2792619926199,402.0,-595.72,-193.72,72,59,53,47,57
train,0.4,26,-1,0.9294285714285714,81.7692763743052,46.52777777777778,135,2,0,0,271.70000000000005,23.47926199261993,295.17926199261996,-3183.0,-587.72,-3770.7200000000003,54,80,52,57,45
train,0.4,27,-1,0.9267142857142857,110.00535159789814,88.19444444444444,14,4,0,0,232.70000000000002,23.47926199261993,256.17926199261996,78.0,-618.6800000000001,-540.6800000000001,59,65,54,55,55
train,0.4,28,-1,0.924,139.53919480620732,43.05555555555556,29,5,0,0,230.20000000000002,23.47926199261993,253.67926199261996,-714.0,-608.68,-1322.68,56,70,66,39,57
train,0.4,29,-1,0.9212857142857143,172.99604194936168,57.986111111111114,0,0,0,0,249.0,23.47926199261993,272.4792619926199,213.0,-554.1999999999999,-341.2,77,59,52,57,43
train,0.4,30,-1,0.9185714285714286,132.54248653955995,97.56944444444444,0,0,0,0,264.5,23.47926199261993,287.9792619926199,540.0,-626.3599999999999,-86.35999999999999,56,71,52,50,59
train,0.4,31,-1,0.9158571428571429,270.32401934485785,4.861111111111112,0,0,103,10,307.80000000000007,23.47926199261993,331.27926199262,-1688.0,-565.32,-2253.32,78,56,55,50,49
train,0.4,32,-1,0.9131428571428571,154.43635777265268,73.26388888888889,0,0,0,0,257.8,23.47926199261993,281.2792619926199,345.0,-641.0799999999999,-296.08000000000004,61,56,51,61,59
train,0.4,33,-1,0.9104285714285714,95.72207374612702,49.65277777777778,72,12,0,0,197.5,23.47926199261993,220.97926199261994,-1776.0,-606.16,-2382.1600000000003,63,63,56,52,54
train,0.4,34,-1,0.9077142857142857,59.78562100772552,15.277777777777779,217,8,0,0,254.8,23.47926199261993,278.2792619926199,-5445.0,-600.0,-6045.0,63,56,63,58,48
train,0.4,35,-1,0.905,109.68798230875736,40.625,77,12,0,0,240.09999999999997,23.47926199261993,263.5792619926199,-1917.0,-579.4,-2496.3999999999996,66,63,56,58,45
train,0.4,36,-1,0.9022857142857142,179.19226526647196,53.47222222222222,0,0,0,0,244.2,23.47926199261993,267.6792619926199,174.0,-553.28,-379.28,77,50,63,58,40
train,0.4,37,-1,0.8995714285714286,153.72877662563806,81.25,0,0,0,0,282.5,23.47926199261993,305.9792619926199,414.0,-646.8399999999999,-232.84,50,50,65,76,47
train,0.4,38,-1,0.8968571428571429,190.78382229359647,30.208333333333332,0,0,0,0,298.4,23.47926199261993,321.8792619926199,-27.0,-608.88,-635.8800000000001,74,50,53,53,58
train,0.4,39,-1,0.8941428571428571,93.58207936215275,36.80555555555556,107,11,0,0,259.7,23.47926199261993,283.1792619926199,-2697.0,-569.9200000000001,-3266.92,66,64,61,53,44
train,0.4,40,-1,0.8914285714285715,165.45779353822425,67.36111111111111,0,0,0,0,270.1,23.47926199261993,293.57926199261993,294.0,-586.8,-292.79999999999995,72,53,52,65,46
train,0.4,41,-1,0.8887142857142857,83.94699339892601,46.52777777777778,78,15,0,0,231.6,23.47926199261993,255.07926199261993,-1986.0,-572.04,-2558.04,62,72,65,40,49
train,0.4,42,-1,0.886,92.86131760372099,60.06944444444444,73,5,0,0,277.2,23.47926199261993,300.6792619926199,-1647.0,-609.28,-2256.2799999999997,50,77,61,48,52
train,0.4,43,-1,0.8832857142857142,92.16628361286227,56.59722222222222,103,8,0,0,229.7,23.47926199261993,253.17926199261993,-2337.0,-623.76,-2960.76,58,74,49,45,62
train,0.4,44,-1,0.8805714285714286,113.10409625858178,75.69444444444444,34,5,0,0,250.20000000000005,23.47926199261993,273.67926199261996,-552.0,-594.76,-1146.7599999999998,67,68,52,44,57
train,0.4,45,-1,0.8778571428571429,245.96016446172658,0.3472222222222222,0,0,33,6,290.4,23.47926199261993,313.8792619926199,-747.0,-615.4,-1362.4,73,53,50,51,61
train,0.4,46,-1,0.8751428571428571,84.1202132968736,53.125,76,11,0,0,264.6,23.47926199261993,288.07926199261993,-1830.0,-612.12,-2442.1200000000003,53,61,69,58,47
train,0.4,47,-1,0.8724285714285714,140.12608038669813,81.59722222222221,6,2,0,0,254.6,23.47926199261993,278.07926199261993,243.0,-602.0799999999999,-359.08000000000004,59,63,53,69,44
train,0.4,48,-1,0.8697142857142857,107.76956318583358,67.01388888888889,78,6,0,0,249.10000000000002,23.47926199261993,272.57926199261993,-1632.0,-577.24,-2209.24,78,53,53,53,51
train,0.4,49,-1,0.867,186.31723010400503,41.66666666666667,0,0,0,0,249.0,23.47926199261993,272.4792619926199,66.0,-588.4000000000001,-522.4000000000001,79,51,49,55,54
eval,0.4,49,0,0.0,185.55838400524001,63.19444444444444,0,0,0,0,108.0,23.47926199261993,131.47926199261994,258.0,-96.79999999999998,161.2,229,36,19,0,4
eval,0.4,49,1,0.0,272.76168054938927,14.583333333333334,0,0,138,1,83.19999999999999,23.47926199261993,106.67926199261991,-2094.0,-59.03999999999999,-2153.04,246,27,15,0,0
eval,0.4,49,2,0.0,209.63650901410904,12.847222222222221,0,0,0,0,97.6,23.47926199261993,121.07926199261992,-177.0,-60.32,-237.32000000000005,247,23,18,0,0
train,0.4,50,-1,0.8642857142857143,101.10948747791582,72.56944444444444,48,5,0,0,258.1,23.47926199261993,281.57926199261993,-885.0,-593.24,-1478.24,71,61,58,39,59
train,0.4,51,-1,0.8615714285714285,156.1418523734303,89.58333333333334,0,0,0,0,310.4,23.47926199261993,333.8792619926199,486.0,-664.6,-178.60000000000002,62,48,55,56,67
train,0.4,52,-1,0.8588571428571429,219.4511381502765,19.444444444444446,0,0,0,0,293.1,23.47926199261993,316.57926199261993,-120.0,-552.04,-672.04,82,70,39,44,53
train,0.4,53,-1,0.8561428571428571,111.03691635196411,61.458333333333336,72,6,0,0,261.0,23.47926199261993,284.4792619926199,-1563.0,-588.52,-2151.52,69,50,69,51,49
train,0.4,54,-1,0.8534285714285714,166.76338449700546,45.13888888888889,0,0,0,0,243.0,23.47926199261993,266.4792619926199,66.0,-576.9200000000001,-510.92,79,58,42,58,51
train,0.4,55,-1,0.8507142857142858,90.27126072915874,58.68055555555556,71,13,0,0,303.30000000000007,23.47926199261993,326.77926199262,-1629.0,-607.0,-2236.0,68,58,59,44,59
train,0.4,56,-1,0.848,165.79680477712847,65.625,0,0,0,0,286.7,23.47926199261993,310.1792619926199,279.0,-556.36,-277.36,75,66,54,44,49
train,0.4,57,-1,0.8452857142857143,103.54811152600739,55.55555555555556,114,3,0,0,275.6,23.47926199261993,299.07926199261993,-2580.0,-574.5199999999999,-3154.52,83,57,42,51,55
train,0.4,58,-1,0.8425714285714285,138.26102511144362,74.30555555555556,24,2,0,0,294.5,23.47926199261993,317.9792619926199,-249.0,-654.08,-903.08,51,69,53,51,64
train,0.4,59,-1,0.8398571428571429,68.7838708472568,30.90277777777778,162,6,0,0,267.0,23.47926199261993,290.4792619926199,-4020.0,-601.24,-4621.24,54,75,59,49,51
train,0.4,60,-1,0.8371428571428572,139.96335522337182,88.54166666666666,3,1,0,0,230.39999999999998,23.47926199261993,253.87926199261992,387.0,-565.12,-178.12,81,62,42,51,52
train,0.4,61,-1,0.8344285714285714,188.77930372230182,36.80555555555556,0,0,0,0,346.70000000000005,23.47926199261993,370.17926199261996,30.0,-593.4399999999999,-563.4399999999999,77,53,57,41,60
train,0.4,62,-1,0.8317142857142857,267.893091434212,7.638888888888889,0,0,116,3,270.4,23.47926199261993,293.8792619926199,-1846.0,-584.64,-2430.6400000000003,74,67,42,49,56
train,0.4,63,-1,0.829,153.1980187557248,81.59722222222221,0,0,0,0,217.3,23.47926199261993,240.77926199261995,417.0,-590.48,-173.48000000000002,68,65,53,48,54
train,0.4,64,-1,0.8262857142857143,132.01632460135303,68.05555555555556,5,2,0,0,271.7,23.47926199261993,295.1792619926199,96.0,-606.3199999999999,-510.32,62,68,50,54,54
train,0.4,65,-1,0.8235714285714286,188.6721834626141,44.09722222222222,0,0,0,0,247.1,23.47926199261993,270.57926199261993,93.0,-576.3199999999999,-483.31999999999994,83,46,54,53,52
train,0.4,66,-1,0.8208571428571428,208.43775208358042,46.18055555555556,0,0,46,6,272.3,23.47926199261993,295.7792619926199,-533.0,-588.72,-1121.72,83,48,50,49,58
train,0.4,67,-1,0.8181428571428572,160.45448181910285,53.47222222222222,8,3,0,0,289.6,23.47926199261993,313.07926199261993,-48.0,-544.0,-592.0,85,55,48,56,44
train,0.4,68,-1,0.8154285714285714,70.67593708215796,28.47222222222222,169,10,0,0,275.1,23.47926199261993,298.57926199261993,-4209.0,-589.04,-4798.04,61,71,56,50,50
train,0.4,69,-1,0.8127142857142857,181.50298571981747,55.208333333333336,0,0,0,0,301.90000000000003,23.47926199261993,325.37926199261994,189.0,-567.44,-378.44,84,54,56,36,58
train,0.4,70,-1,0.81,266.484836640654,3.125,0,0,72,3,268.79999999999995,23.47926199261993,292.27926199261987,-1269.0,-520.1199999999999,-1789.1200000000001,88,57,49,55,39
train,0.4,71,-1,0.8072857142857143,184.78202049769172,42.36111111111111,0,0,0,0,269.20000000000005,23.47926199261993,292.67926199261996,78.0,-580.88,-502.88,75,56,58,45,54
train,0.4,72,-1,0.8045714285714286,139.85065464062328,81.59722222222221,2,2,0,0,298.70000000000005,23.47926199261993,322.17926199261996,300.0,-580.44,-280.44,67,74,51,41,55
train,0.4,73,-1,0.8018571428571428,112.3587920279875,70.48611111111111,62,5,0,0,274.2,23.47926199261993,297.6792619926199,-1215.0,-594.24,-1809.2400000000002,65,57,68,46,52
train,0.4,74,-1,0.7991428571428572,215.75535606797044,17.708333333333336,0,0,0,0,278.3,23.47926199261993,301.7792619926199,-135.0,-549.48,-684.48,85,52,57,45,49
