phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.4,0,-1,1.0,80.04104753122391,35.76388888888889,135,17,0,0,288.70000000000005,23.47926199261993,312.17926199261996,-3369.0,-606.0,-3975.0000000000005,72,50,61,47,58
train,0.4,1,-1,0.9972857142857143,159.47299900193508,29.86111111111111,42,2,0,0,264.8,23.47926199261993,288.2792619926199,-1068.0,-653.8,-1721.8000000000002,52,54,57,72,53
train,0.4,2,-1,0.9945714285714286,250.98691727795187,12.152777777777777,0,0,50,15,277.8,23.47926199261993,301.2792619926199,-883.0,-659.6800000000001,-1542.6800000000003,47,66,64,47,64
train,0.4,3,-1,0.9918571428571429,194.91499920926083,35.76388888888889,0,0,0,0,260.5,23.47926199261993,283.9792619926199,21.0,-623.76,-602.76,60,58,57,59,54
train,0.4,4,-1,0.9891428571428571,122.54349427768754,59.375,51,3,0,0,297.3,23.47926199261993,320.7792619926199,-1044.0,-642.52,-1686.52,52,66,57,54,59
train,0.4,5,-1,0.9864285714285714,79.99002054671206,27.77777777777778,150,17,0,0,307.70000000000005,23.47926199261993,331.17926199261996,-3810.0,-667.76,-4477.76,55,57,54,56,66
train,0.4,6,-1,0.9837142857142858,179.65780316079386,55.208333333333336,0,0,0,0,283.0,23.47926199261993,306.4792619926199,189.0,-630.9200000000001,-441.92,58,64,51,58,57
train,0.4,7,-1,0.981,207.5825571731526,53.47222222222222,0,0,53,3,253.70000000000002,23.47926199261993,277.17926199261996,-568.0,-564.68,-1132.68,68,64,62,49,45
train,0.4,8,-1,0.9782857142857143,99.26251365016249,59.375,85,8,0,0,271.3,23.47926199261993,294.7792619926199,-1887.0,-668.52,-2555.52,58,59,47,55,69
train,0.4,9,-1,0.9755714285714285,162.01134440149397,84.375,0,0,0,0,296.5,23.47926199261993,319.9792619926199,441.0,-682.4399999999999,-241.44,51,57,57,54,69
train,0.4,10,-1,0.9728571428571429,93.57638336037977,52.77777777777778,83,14,0,0,293.7,23.47926199261993,317.1792619926199,-1977.0,-651.3599999999999,-2628.36,56,59,59,50,64
train,0.4,11,-1,0.9701428571428572,174.5514412299384,52.083333333333336,0,0,0,0,294.5,23.47926199261993,317.9792619926199,162.0,-594.48,-432.48,69,59,57,49,54
train,0.4,12,-1,0.9674285714285714,91.05905342713963,63.541666666666664,78,11,0,0,280.8,23.47926199261993,304.2792619926199,-1692.0,-634.28,-2326.28,66,56,54,47,65
train,0.4,13,-1,0.9647142857142857,149.27647603949438,74.65277777777779,0,0,0,0,314.70000000000005,23.47926199261993,338.17926199261996,345.0,-689.44,-344.44,49,52,63,56,68
train,0.4,14,-1,0.962,105.6801413641835,70.48611111111111,57,3,0,0,250.8,23.47926199261993,274.2792619926199,-1098.0,-648.24,-1746.2400000000002,57,64,47,58,62
train,0.4,15,-1,0.9592857142857143,98.05530628282274,60.416666666666664,90,8,0,0,279.4,23.47926199261993,302.8792619926199,-1998.0,-615.7199999999999,-2613.7200000000003,65,69,44,49,61
train,0.4,16,-1,0.9565714285714286,120.12249747106934,37.5,101,6,1,1,248.0,23.47926199261993,271.4792619926199,-2432.0,-644.4000000000001,-3076.3999999999996,58,58,58,52,62
train,0.4,17,-1,0.9538571428571428,112.79883428864325,56.25,51,7,0,0,268.8,23.47926199261993,292.2792619926199,-1182.0,-655.8799999999999,-1837.88,53,56,56,66,57
train,0.4,18,-1,0.9511428571428572,204.90406357795797,38.88888888888889,0,0,23,1,244.0,23.47926199261993,267.4792619926199,-274.0,-568.76,-842.76,72,64,58,43,51
train,0.4,19,-1,0.9484285714285714,118.62365318315152,93.75,6,1,0,0,264.2,23.47926199261993,287.6792619926199,345.0,-638.2,-293.2,57,72,44,52,63
train,0.4,20,-1,0.9457142857142857,101.49581834706706,38.54166666666667,118,8,0,0,256.59999999999997,23.47926199261993,280.0792619926199,-2907.0,-654.9199999999998,-3561.92,55,58,55,59,61
train,0.4,21,-1,0.9430000000000001,91.9240957161667,61.458333333333336,61,11,0,0,276.59999999999997,23.47926199261993,300.0792619926199,-1371.0,-613.04,-1984.04,63,60,55,56,54
train,0.4,22,-1,0.9402857142857143,86.0927511954877,57.291666666666664,92,8,0,0,274.20000000000005,23.47926199261993,297.67926199261996,-2094.0,-650.1600000000001,-2744.16,55,58,54,63,58
train,0.4,23,-1,0.9375714285714286,144.8108056730108,84.02777777777779,0,0,0,0,261.4,23.47926199261993,284.8792619926199,438.0,-598.88,-160.88,75,58,42,57,56
train,0.4,24,-1,0.9348571428571428,85.70059131113892,53.125,129,1,0,0,257.1,23.47926199261993,280.57926199261993,-2943.0,-635.0799999999999,-3578.08,57,64,43,71,53
train,0.4,25,-1,0.9321428571428572,122.61368493123165,96.18055555555556,0,0,0,0,240.1,23.47926199261993,263.57926199261993,510.0,-554.36,-44.36,71,69,58,43,47
train,0.4,26,-1,0.9294285714285714,139.0318527017064,42.36111111111111,29,6,0,0,283.8,23.47926199261993,307.2792619926199,-729.0,-613.48,-1342.4800000000002,64,56,57,58,53
train,0.4,27,-1,0.9267142857142857,199.79899333825063,27.430555555555557,0,0,0,0,240.2,23.47926199261993,263.6792619926199,-51.0,-538.8,-589.8,70,73,59,44,42
train,0.4,28,-1,0.924,120.06974348400419,96.52777777777779,3,3,0,0,267.2,23.47926199261993,290.6792619926199,459.0,-566.6,-107.6,76,62,49,52,49
train,0.4,29,-1,0.9212857142857143,262.45769990041356,4.861111111111112,0,0,65,11,267.7,23.47926199261993,291.1792619926199,-1156.0,-606.8399999999999,-1762.84,60,55,72,50,51
train,0.4,30,-1,0.9185714285714286,151.60805916154146,72.91666666666666,0,0,0,0,269.0,23.47926199261993,292.4792619926199,342.0,-602.12,-260.12,65,58,61,51,53
