phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.1,0,-1,1.0,192.42123171064188,30.90277777777778,0,0,0,0,273.40000000000003,23.47926199261993,296.87926199261994,-21.0,-155.35999999999999,-176.35999999999999,56,60,63,57,52
train,0.1,1,-1,0.9972857142857143,165.1298416636348,70.83333333333334,0,0,0,0,368.0,23.47926199261993,391.4792619926199,324.0,-169.46,154.54000000000002,53,52,52,69,62
train,0.1,2,-1,0.9945714285714286,81.65086821185207,41.66666666666667,131,13,0,0,300.0,23.47926199261993,323.4792619926199,-3183.0,-166.4,-3349.4,62,52,49,57,68
train,0.1,3,-1,0.9918571428571429,152.82756755600101,37.5,42,2,0,0,266.5,23.47926199261993,289.9792619926199,-1002.0,-156.72,-1158.72,63,56,53,60,56
train,0.1,4,-1,0.9891428571428571,241.67042422239624,17.36111111111111,0,0,23,9,260.4,23.47926199261993,283.8792619926199,-460.0,-148.95999999999998,-608.96,70,57,53,56,52
train,0.1,5,-1,0.9864285714285714,185.16100615370507,46.52777777777778,0,0,0,0,269.6,23.47926199261993,293.07926199261993,114.0,-155.72,-41.72,60,64,44,68,52
train,0.1,6,-1,0.9837142857142858,139.37608226558828,55.90277777777778,39,4,0,0,270.3,23.47926199261993,293.7792619926199,-810.0,-152.58999999999997,-962.5899999999999,63,63,47,64,51
train,0.1,7,-1,0.981,91.77423219529958,43.75,92,11,0,0,242.20000000000002,23.47926199261993,265.67926199261996,-2295.0,-141.57999999999998,-2436.58,66,72,54,50,46
train,0.1,8,-1,0.9782857142857143,181.52967816079385,55.55555555555556,0,0,0,0,261.2,23.47926199261993,284.6792619926199,192.0,-145.96,46.03999999999999,67,61,51,65,44
train,0.1,9,-1,0.9755714285714285,211.5719668953749,51.041666666666664,0,0,55,2,248.2,23.47926199261993,271.6792619926199,-617.0,-155.05,-772.0500000000001,52,61,68,58,49
train,0.1,10,-1,0.9728571428571429,89.9524707839237,53.47222222222222,89,10,0,0,257.6,23.47926199261993,281.07926199261993,-2088.0,-152.39,-2240.3900000000003,54,73,55,55,51
train,0.1,11,-1,0.9701428571428572,152.6023166237161,90.625,0,0,0,0,264.20000000000005,23.47926199261993,287.67926199261996,495.0,-153.64,341.36,57,76,53,42,60
train,0.1,12,-1,0.9674285714285714,89.90758737254977,42.01388888888889,103,16,0,0,270.9,23.47926199261993,294.3792619926199,-2583.0,-155.98000000000002,-2738.98,50,65,65,58,50
train,0.1,13,-1,0.9647142857142857,182.98859400771627,44.44444444444444,0,0,0,0,282.5,23.47926199261993,305.9792619926199,96.0,-151.16,-55.16,65,58,50,67,48
train,0.1,14,-1,0.962,102.93226511613423,75.0,42,6,0,0,291.7,23.47926199261993,315.1792619926199,-738.0,-146.63,-884.6300000000001,65,60,68,44,51
train,0.1,15,-1,0.9592857142857143,145.17317742838307,76.38888888888889,0,0,0,0,284.79999999999995,23.47926199261993,308.27926199261987,360.0,-161.43,198.57000000000002,62,52,58,53,63
train,0.1,16,-1,0.9565714285714286,93.65348589622059,64.23611111111111,79,4,0,0,298.6,23.47926199261993,322.07926199261993,-1701.0,-153.23,-1854.2299999999998,66,61,54,48,59
train,0.1,17,-1,0.9538571428571428,91.51628662232353,54.166666666666664,100,9,0,0,270.7,23.47926199261993,294.1792619926199,-2316.0,-153.57,-2469.5699999999997,55,71,62,43,57
train,0.1,18,-1,0.9511428571428572,122.86971494199904,43.05555555555556,80,5,2,1,239.50000000000003,23.47926199261993,262.97926199261997,-1918.0,-151.17,-2069.17,64,60,58,53,53
train,0.1,19,-1,0.9484285714285714,118.34536003722499,61.458333333333336,51,6,0,0,290.29999999999995,23.47926199261993,313.77926199261987,-1086.0,-154.94,-1240.9400000000003,62,61,57,50,58
train,0.1,20,-1,0.9457142857142857,209.5742024668469,38.19444444444444,0,0,24,1,279.8,23.47926199261993,303.2792619926199,-294.0,-155.45,-449.45,58,67,47,63,53
train,0.1,21,-1,0.9430000000000001,120.62400040537366,95.13888888888889,3,1,0,0,305.4,23.47926199261993,328.8792619926199,438.0,-152.13,285.87,65,57,64,45,57
train,0.1,22,-1,0.9402857142857143,96.5315016019175,40.27777777777778,130,9,0,0,250.79999999999998,23.47926199261993,274.2792619926199,-3153.0,-153.95999999999998,-3306.96,64,59,62,43,60
