phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.25,0,-1,1.0,188.87046666363474,53.81944444444444,0,0,0,0,259.70000000000005,23.47926199261993,283.17926199261996,177.0,-383.04999999999995,-206.05,61,65,52,56,54
train,0.25,1,-1,0.9972857142857143,87.00422264937795,43.75,132,13,0,0,308.3,23.47926199261993,331.7792619926199,-3168.0,-412.47499999999997,-3580.4749999999995,51,62,58,54,63
train,0.25,2,-1,0.9945714285714286,154.2781556388351,33.33333333333333,42,2,0,0,288.80000000000007,23.47926199261993,312.27926199262,-1038.0,-400.6,-1438.5999999999997,62,52,57,57,60
train,0.25,3,-1,0.9918571428571429,236.93309783350747,17.36111111111111,0,0,11,2,269.2,23.47926199261993,292.6792619926199,-292.0,-378.07499999999993,-670.075,67,56,53,61,51
train,0.25,4,-1,0.9891428571428571,191.40267282037192,37.15277777777778,0,0,0,0,284.0,23.47926199261993,307.4792619926199,33.0,-407.85,-374.84999999999997,56,54,63,53,62
train,0.25,5,-1,0.9864285714285714,140.07593121935497,61.458333333333336,36,2,0,0,231.79999999999998,23.47926199261993,255.27926199261992,-657.0,-412.6,-1069.6,48,63,59,58,60
train,0.25,6,-1,0.9837142857142858,86.55881522893274,34.375,116,13,0,0,297.8,23.47926199261993,321.2792619926199,-2976.0,-416.87499999999994,-3392.8750000000005,54,46,57,76,55
train,0.25,7,-1,0.981,177.5975601052382,56.25,0,0,0,0,257.6,23.47926199261993,281.07926199261993,198.0,-372.07499999999993,-174.075,68,60,52,57,51
train,0.25,8,-1,0.9782857142857143,218.9927192340084,46.52777777777778,0,0,58,1,300.4,23.47926199261993,323.8792619926199,-698.0,-443.575,-1141.575,52,45,61,55,75
train,0.25,9,-1,0.9755714285714285,88.20436962827024,46.875,93,11,0,0,300.6,23.47926199261993,324.07926199261993,-2286.0,-398.075,-2684.075,56,55,63,59,55
train,0.25,10,-1,0.9728571428571429,151.05874023482727,88.19444444444444,0,0,0,0,314.79999999999995,23.47926199261993,338.27926199261987,474.0,-363.8,110.2,72,54,65,45,52
train,0.25,11,-1,0.9701428571428572,92.93198930621351,50.0,81,15,0,0,239.79999999999995,23.47926199261993,263.27926199261987,-1983.0,-356.25,-2339.2500000000005,65,74,57,42,50
train,0.25,12,-1,0.9674285714285714,177.8514412299384,50.69444444444444,0,0,0,0,299.20000000000005,23.47926199261993,322.67926199261996,150.0,-418.9,-268.9,42,69,63,50,64
train,0.25,13,-1,0.9647142857142857,92.99035179990652,65.625,71,7,0,0,275.0,23.47926199261993,298.4792619926199,-1509.0,-378.07499999999993,-1887.0750000000003,64,59,63,47,55
train,0.25,14,-1,0.962,161.12873298393887,73.26388888888889,0,0,0,0,243.0,23.47926199261993,266.4792619926199,342.0,-419.07499999999993,-77.07499999999996,51,60,45,73,59
train,0.25,15,-1,0.9592857142857143,106.56790393103111,69.44444444444444,57,3,0,0,261.7,23.47926199261993,285.1792619926199,-1113.0,-354.275,-1467.275,67,56,73,49,43
train,0.25,16,-1,0.9565714285714286,88.02900002271052,52.43055555555556,112,7,0,0,274.9,23.47926199261993,298.3792619926199,-2598.0,-384.3,-2982.3,51,69,60,60,48
train,0.25,17,-1,0.9538571428571428,120.42429942788266,45.48611111111111,80,3,0,0,204.6,23.47926199261993,228.07926199261993,-1857.0,-361.75,-2218.75,66,76,50,42,54
train,0.25,18,-1,0.9511428571428572,126.57160751713417,61.111111111111114,47,6,0,0,296.7,23.47926199261993,320.1792619926199,-981.0,-387.25,-1368.25,65,54,61,50,58
train,0.25,19,-1,0.9484285714285714,210.43192737925938,38.54166666666667,0,0,26,1,279.1,23.47926199261993,302.57926199261993,-319.0,-377.3,-696.2999999999998,79,48,51,50,60
train,0.25,20,-1,0.9457142857142857,114.64778512759595,92.01388888888889,6,1,0,0,290.3,23.47926199261993,313.7792619926199,315.0,-390.875,-75.87499999999997,65,52,54,62,55
train,0.25,21,-1,0.9430000000000001,102.81844690158624,41.31944444444444,120,11,0,0,268.1,23.47926199261993,291.57926199261993,-2901.0,-383.85,-3284.85,60,56,62,60,50
train,0.25,22,-1,0.9402857142857143,96.68077744910062,67.70833333333334,39,8,0,0,246.5,23.47926199261993,269.9792619926199,-801.0,-369.95,-1170.95,71,56,52,59,50
train,0.25,23,-1,0.9375714285714286,95.57548697630571,68.40277777777779,61,6,0,0,269.3,23.47926199261993,292.7792619926199,-1251.0,-400.29999999999995,-1651.3,57,52,57,70,52
train,0.25,24,-1,0.9348571428571428,126.21879178412188,80.20833333333334,4,4,0,0,304.7,23.47926199261993,328.1792619926199,201.0,-372.79999999999995,-171.80000000000004,69,53,55,63,48
train,0.25,25,-1,0.9321428571428572,83.28021661576524,46.875,133,3,0,0,337.6,23.47926199261993,361.07926199261993,-3135.0,-442.225,-3577.225,53,53,43,66,73
train,0.25,26,-1,0.9294285714285714,124.62653215345387,97.22222222222221,1,1,0,0,233.39999999999998,23.47926199261993,256.8792619926199,507.0,-387.6,119.4,61,58,54,63,52
train,0.25,27,-1,0.9267142857142857,156.325081868373,44.79166666666667,14,6,0,0,300.0,23.47926199261993,323.4792619926199,-321.0,-412.9,-733.9,53,70,47,50,68
train,0.25,28,-1,0.924,186.1637502826951,39.23611111111111,0,0,0,0,284.0,23.47926199261993,307.4792619926199,51.0,-388.625,-337.625,67,51,57,56,57
train,0.25,29,-1,0.9212857142857143,121.57434189220278,94.44444444444444,7,1,0,0,326.9,23.47926199261993,350.3792619926199,339.0,-382.82500000000005,-43.82499999999999,66,58,49,62,53
train,0.25,30,-1,0.9185714285714286,251.37158878930236,4.861111111111112,0,0,24,3,273.5,23.47926199261993,296.9792619926199,-582.0,-375.54999999999995,-957.55,70,50,64,50,54
train,0.25,31,-1,0.9158571428571429,131.70285082820814,75.34722222222221,15,4,0,0,295.0,23.47926199261993,318.4792619926199,-60.0,-381.275,-441.2750000000001,69,56,57,47,59
train,0.25,32,-1,0.9131428571428571,92.73554408431055,44.09722222222222,84,10,0,0,249.09999999999997,23.47926199261993,272.5792619926199,-2118.0,-377.4,-2495.4,69,48,64,55,52
train,0.25,33,-1,0.9104285714285714,59.23381585440802,13.194444444444445,220,10,0,0,231.7,23.47926199261993,255.17926199261993,-5544.0,-393.925,-5937.925,60,60,60,47,61
train,0.25,34,-1,0.9077142857142857,107.56408807221798,41.66666666666667,75,12,0,0,298.8,23.47926199261993,322.2792619926199,-1869.0,-398.0,-2267.0,61,54,60,53,60
train,0.25,35,-1,0.905,186.28757776647197,46.18055555555556,0,0,0,0,267.1,23.47926199261993,290.57926199261993,111.0,-378.125,-267.125,60,65,60,50,53
train,0.25,36,-1,0.9022857142857142,153.9390196811936,81.94444444444444,0,0,0,0,300.3,23.47926199261993,323.7792619926199,420.0,-402.525,17.475000000000016,70,37,53,71,57
train,0.25,37,-1,0.8995714285714286,188.98416951581873,31.25,0,0,0,0,300.20000000000005,23.47926199261993,323.67926199261996,-18.0,-389.92499999999995,-407.92499999999995,67,54,50,60,57
train,0.25,38,-1,0.8968571428571429,88.1618703775855,35.06944444444444,119,13,0,0,318.5,23.47926199261993,341.9792619926199,-3006.0,-416.5,-3422.5,63,43,54,64,64
