phase,coeff,train_episode,eval_episode,epsilon,mean_glucose,time_in_range_percent,hypo_steps,hypo_events,severe_hyper_steps,severe_hyper_events,total_bolus_units,total_basal_units,total_insulin_units,sum_zone_reward,sum_insulin_penalty,total_reward,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count
train,0.6,0,-1,1.0,167.23105694141248,67.01388888888889,0,0,0,0,295.2,23.47926199261993,318.6792619926199,291.0,-995.5799999999998,-704.5799999999999,60,63,46,46,73
train,0.6,1,-1,0.9972857142857143,85.35409032038277,44.44444444444444,118,14,0,0,264.0,23.47926199261993,287.4792619926199,-2862.0,-927.8399999999999,-3789.84,64,57,56,55,56
train,0.6,2,-1,0.9945714285714286,157.84880136679993,29.166666666666668,46,2,0,0,270.20000000000005,23.47926199261993,293.67926199261996,-1167.0,-905.8199999999999,-2072.82,65,53,61,60,49
train,0.6,3,-1,0.9918571428571429,225.09472977795198,21.52777777777778,0,0,0,0,311.40000000000003,23.47926199261993,334.87926199261994,-102.0,-1058.58,-1160.58,57,45,51,60,75
train,0.6,4,-1,0.9891428571428571,186.07194365370515,47.56944444444444,0,0,0,0,238.3,23.47926199261993,261.7792619926199,123.0,-972.0600000000001,-849.06,51,58,58,68,53
train,0.6,5,-1,0.9864285714285714,140.09056765975356,62.15277777777778,33,3,0,0,240.7,23.47926199261993,264.1792619926199,-591.0,-939.24,-1530.2399999999998,51,64,62,61,50
train,0.6,6,-1,0.9837142857142858,90.42017029241045,33.33333333333333,109,14,0,0,260.9,23.47926199261993,284.3792619926199,-2826.0,-911.28,-3737.2799999999997,65,53,63,55,52
train,0.6,7,-1,0.981,165.06440038301585,61.458333333333336,0,0,0,0,315.6,23.47926199261993,339.07926199261993,228.0,-1020.8399999999999,-792.8399999999999,48,55,58,65,62
train,0.6,8,-1,0.9782857142857143,229.3936795284391,36.45833333333333,0,0,78,4,212.1,23.47926199261993,235.57926199261993,-1065.0,-868.9799999999999,-1933.98,66,61,63,51,47
train,0.6,9,-1,0.9755714285714285,97.656393011735,57.986111111111114,86,9,0,0,280.9,23.47926199261993,304.3792619926199,-1932.0,-985.7399999999998,-2917.7400000000002,46,74,50,57,61
train,0.6,10,-1,0.9728571428571429,140.37558051260498,95.13888888888889,0,0,0,0,294.4,23.47926199261993,317.8792619926199,534.0,-974.76,-440.75999999999993,65,54,48,55,66
train,0.6,11,-1,0.9701428571428572,96.05028743203171,54.166666666666664,78,13,0,0,222.0,23.47926199261993,245.47926199261994,-1839.0,-982.3799999999999,-2821.38,45,61,70,55,57
train,0.6,12,-1,0.9674285714285714,183.8781773410496,43.05555555555556,0,0,0,0,290.4,23.47926199261993,313.8792619926199,84.0,-983.0999999999999,-899.0999999999999,50,54,61,70,53
train,0.6,13,-1,0.9647142857142857,99.1651880858735,73.26388888888889,54,6,0,0,286.79999999999995,23.47926199261993,310.27926199261987,-1020.0,-941.76,-1961.7600000000002,64,58,53,53,60
train,0.6,14,-1,0.962,164.66345520616116,68.05555555555556,0,0,4,2,302.29999999999995,23.47926199261993,325.77926199261987,241.0,-948.7199999999998,-707.7199999999999,61,51,62,58,56
train,0.6,15,-1,0.9592857142857143,104.8746897207088,68.75,58,4,0,0,270.1,23.47926199261993,293.57926199261993,-1149.0,-940.5,-2089.5,64,51,64,50,59
train,0.6,16,-1,0.9565714285714286,90.98553851498872,55.90277777777778,105,6,0,0,268.0,23.47926199261993,291.4792619926199,-2391.0,-952.8599999999999,-3343.86,59,59,53,60,57
train,0.6,17,-1,0.9538571428571428,118.60511967238735,48.61111111111111,79,4,0,0,230.7,23.47926199261993,254.17926199261993,-1812.0,-943.8599999999999,-2755.86,49,66,63,59,51
train,0.6,18,-1,0.9511428571428572,114.17827005664815,54.513888888888886,57,10,0,0,270.3,23.47926199261993,293.7792619926199,-1335.0,-938.3999999999999,-2273.4,47,82,53,50,56
train,0.6,19,-1,0.9484285714285714,200.85059135573576,39.23611111111111,0,0,23,1,265.3,23.47926199261993,288.7792619926199,-271.0,-950.76,-1221.76,56,69,47,58,58
train,0.6,20,-1,0.9457142857142857,136.98910457204053,93.75,0,0,0,0,262.0,23.47926199261993,285.4792619926199,516.0,-970.92,-454.9199999999999,59,66,39,62,62
train,0.6,21,-1,0.9430000000000001,106.90351778463929,32.98611111111111,128,8,0,0,255.2,23.47926199261993,278.6792619926199,-3138.0,-914.76,-4052.7599999999998,61,59,58,60,50
train,0.6,22,-1,0.9402857142857143,86.8945937594929,44.44444444444444,89,17,0,0,238.7,23.47926199261993,262.1792619926199,-2253.0,-952.14,-3205.1400000000003,57,56,64,54,57
train,0.6,23,-1,0.9375714285714286,100.1914591985279,72.56944444444444,47,6,0,0,298.7,23.47926199261993,322.1792619926199,-885.0,-892.3799999999999,-1777.3799999999997,77,48,52,58,53
train,0.6,24,-1,0.9348571428571428,124.31653483967736,76.04166666666666,6,4,0,0,284.09999999999997,23.47926199261993,307.5792619926199,84.0,-900.18,-816.18,63,59,63,52,51
train,0.6,25,-1,0.9321428571428572,87.94994681452438,53.125,129,1,0,0,255.59999999999997,23.47926199261993,279.0792619926199,-2943.0,-887.7599999999999,-3830.7599999999998,64,68,54,50,52
train,0.6,26,-1,0.9294285714285714,106.81663632012034,81.59722222222221,19,4,0,0,263.7,23.47926199261993,287.1792619926199,-141.0,-890.4599999999999,-1031.46,74,61,46,50,57
train,0.6,27,-1,0.9267142857142857,137.7756611710103,41.66666666666667,42,7,0,0,291.3,23.47926199261993,314.7792619926199,-1014.0,-949.26,-1963.26,60,61,56,50,61
train,0.6,28,-1,0.924,167.32937528269494,66.31944444444444,0,0,0,0,286.20000000000005,23.47926199261993,309.67926199261996,285.0,-910.68,-625.68,64,65,49,56,54
train,0.6,29,-1,0.9212857142857143,121.23120181733755,93.40277777777779,1,1,0,0,338.2,23.47926199261993,361.6792619926199,447.0,-837.5999999999999,-390.5999999999999,81,55,53,51,48
train,0.6,30,-1,0.9185714285714286,281.87515954756077,4.861111111111112,0,0,143,11,267.29999999999995,23.47926199261993,290.77926199261987,-2248.0,-944.1599999999999,-3192.16,54,52,75,55,52
train,0.6,31,-1,0.9158571428571429,157.89764249487482,63.541666666666664,0,0,0,0,254.89999999999998,23.47926199261993,278.3792619926199,261.0,-828.3,-567.3,65,70,64,48,41
train,0.6,32,-1,0.9131428571428571,89.9818399953263,40.625,118,9,0,0,249.2,23.47926199261993,272.6792619926199,-2892.0,-837.8999999999999,-3729.9,75,59,57,52,45
train,0.6,33,-1,0.9104285714285714,59.668092397920795,12.847222222222221,221,8,0,0,290.8,23.47926199261993,314.2792619926199,-5571.0,-976.5,-6547.5,49,64,61,55,59
train,0.6,34,-1,0.9077142857142857,110.75299070113705,38.88888888888889,76,15,0,0,286.6,23.47926199261993,310.07926199261993,-1920.0,-914.4,-2834.4,63,58,58,57,52
train,0.6,35,-1,0.905,191.93670971091655,39.58333333333333,0,0,2,2,251.10000000000002,23.47926199261993,274.57926199261993,26.0,-783.06,-757.06,95,49,49,52,43
train,0.6,36,-1,0.9022857142857142,161.09162384786035,74.30555555555556,0,0,0,0,263.2,23.47926199261993,286.6792619926199,354.0,-860.8199999999999,-506.81999999999994,80,44,52,69,43
train,0.6,37,-1,0.8995714285714286,185.60795423804083,43.40277777777778,0,0,0,0,290.29999999999995,23.47926199261993,313.77926199261987,87.0,-952.5599999999998,-865.56,64,56,50,58,60
train,0.6,38,-1,0.8968571428571429,94.2321801939135,37.15277777777778,98,16,0,0,254.09999999999997,23.47926199261993,277.5792619926199,-2511.0,-956.5799999999999,-3467.58,56,61,59,53,59
train,0.6,39,-1,0.8941428571428571,159.23123103822425,60.06944444444444,4,3,0,0,294.5,23.47926199261993,317.9792619926199,111.0,-815.6399999999999,-704.6399999999999,85,49,62,46,46
train,0.6,40,-1,0.8914285714285715,83.19275867033922,46.18055555555556,91,17,0,0,266.70000000000005,23.47926199261993,290.17926199261996,-2265.0,-850.1999999999999,-3115.2,82,47,60,49,50
train,0.6,41,-1,0.8887142857142857,96.89960145929575,68.05555555555556,67,5,0,0,264.09999999999997,23.47926199261993,287.5792619926199,-1383.0,-903.9599999999999,-2286.96,60,69,50,59,50
train,0.6,42,-1,0.886,89.2686531539884,54.861111111111114,105,8,0,0,254.0,23.47926199261993,277.4792619926199,-2409.0,-811.9200000000001,-3220.92,79,63,53,49,44
train,0.6,43,-1,0.8832857142857142,106.2635166164395,72.56944444444444,47,9,0,0,250.7,23.47926199261993,274.1792619926199,-885.0,-833.6399999999999,-1718.64,79,54,52,61,42
train,0.6,44,-1,0.8805714285714286,242.31137973950433,1.3888888888888888,0,0,33,6,264.4,23.47926199261993,287.8792619926199,-738.0,-800.5799999999999,-1538.58,81,61,56,47,43
train,0.6,45,-1,0.8778571428571429,82.76632565778576,47.22222222222222,93,12,0,0,274.3,23.47926199261993,297.7792619926199,-2289.0,-943.02,-3232.0200000000004,80,42,52,45,69
train,0.6,46,-1,0.8751428571428571,146.90130091973117,79.86111111111111,7,1,0,0,303.4,23.47926199261993,326.8792619926199,222.0,-898.3799999999999,-676.38,69,58,53,55,53
train,0.6,47,-1,0.8724285714285714,106.54843517354513,65.625,85,4,0,0,252.0,23.47926199261993,275.4792619926199,-1803.0,-818.0999999999999,-2621.1,82,65,43,51,47
train,0.6,48,-1,0.8697142857142857,185.27707901541635,39.93055555555556,3,2,0,0,274.8,23.47926199261993,298.2792619926199,-36.0,-833.8199999999999,-869.8199999999999,81,62,52,40,53
train,0.6,49,-1,0.867,100.28142426400605,68.40277777777779,53,6,0,0,269.9,23.47926199261993,293.3792619926199,-1062.0,-878.3999999999999,-1940.3999999999996,71,66,51,44,56
eval,0.6,49,0,0.0,91.82652063328224,62.84722222222222,48,7,0,0,155.39999999999998,23.47926199261993,178.87926199261992,-1074.0,-316.97999999999996,-1390.98,188,63,1,21,15
eval,0.6,49,1,0.0,123.29686859089546,84.02777777777779,9,7,0,0,234.9,23.47926199261993,258.37926199261994,141.0,-274.14,-133.13999999999993,213,31,3,32,9
eval,0.6,49,2,0.0,232.46239460858385,2.7777777777777777,0,0,0,0,159.6,23.47926199261993,183.07926199261993,-264.0,-337.43999999999994,-601.4399999999999,214,0,0,74,0
train,0.6,50,-1,0.8642857142857143,142.0783107067636,95.13888888888889,0,0,0,0,238.29999999999998,23.47926199261993,261.7792619926199,531.0,-784.3199999999999,-253.31999999999994,87,57,58,42,44
train,0.6,51,-1,0.8615714285714285,210.70704092805428,24.305555555555554,0,0,0,0,283.2,23.47926199261993,306.6792619926199,-78.0,-855.1199999999999,-933.12,79,48,67,42,52
train,0.6,52,-1,0.8588571428571429,102.42241406630959,52.43055555555556,84,10,0,0,275.0,23.47926199261993,298.4792619926199,-1971.0,-907.68,-2878.68,56,58,74,52,48
train,0.6,53,-1,0.8561428571428571,141.24996405208907,55.90277777777778,35,4,0,0,261.29999999999995,23.47926199261993,284.77926199261987,-711.0,-837.3,-1548.3000000000002,78,60,51,52,47
train,0.6,54,-1,0.8534285714285714,106.52260983372912,80.90277777777779,16,6,0,0,262.79999999999995,23.47926199261993,286.27926199261987,-90.0,-901.6199999999999,-991.6199999999999,71,54,56,52,55
train,0.6,55,-1,0.8507142857142858,162.5530547771285,70.48611111111111,0,0,0,0,287.5,23.47926199261993,310.9792619926199,318.0,-823.2599999999999,-505.25999999999993,79,49,65,54,41
train,0.6,56,-1,0.848,94.79187695281745,55.55555555555556,117,2,0,0,276.0,23.47926199261993,299.4792619926199,-2649.0,-831.8999999999999,-3480.9,76,56,63,48,45
train,0.6,57,-1,0.8452857142857143,141.1219485348671,67.70833333333334,26,3,0,0,230.7,23.47926199261993,254.17926199261993,-354.0,-839.8199999999999,-1193.82,77,54,59,53,45
train,0.6,58,-1,0.8425714285714285,70.25484909689574,33.33333333333333,159,6,0,0,266.6,23.47926199261993,290.07926199261993,-3915.0,-836.28,-4751.280000000001,73,62,60,47,46
train,0.6,59,-1,0.8398571428571429,141.53366772337174,81.25,5,1,0,0,210.29999999999998,23.47926199261993,233.77926199261992,249.0,-746.76,-497.7599999999999,96,52,54,48,38
train,0.6,60,-1,0.8371428571428572,202.10557374232184,25.694444444444443,0,0,0,0,246.70000000000002,23.47926199261993,270.17926199261996,-66.0,-775.8599999999999,-841.8599999999999,85,72,41,47,43
train,0.6,61,-1,0.8344285714285714,268.0240901267296,7.986111111111111,0,0,107,6,280.20000000000005,23.47926199261993,303.67926199261996,-1717.0,-843.54,-2560.54,60,77,53,59,39
train,0.6,62,-1,0.8317142857142857,149.20635208905807,82.98611111111111,0,0,0,0,286.0,23.47926199261993,309.4792619926199,408.0,-827.3399999999999,-419.3399999999999,84,63,39,53,49
train,0.6,63,-1,0.829,139.88368571246417,61.80555555555556,5,2,0,0,254.10000000000002,23.47926199261993,277.57926199261993,72.0,-874.8599999999999,-802.8599999999999,64,77,48,46,53
train,0.6,64,-1,0.8262857142857143,190.5680167959473,39.58333333333333,0,0,0,0,282.1,23.47926199261993,305.57926199261993,54.0,-776.6399999999999,-722.6399999999999,95,61,41,43,48
train,0.6,65,-1,0.8235714285714286,199.3259465280247,48.95833333333333,0,0,12,3,276.20000000000005,23.47926199261993,299.67926199261996,-33.0,-826.02,-859.0199999999999,87,45,52,61,43
train,0.6,66,-1,0.8208571428571428,176.09475959688066,39.58333333333333,0,0,0,0,260.7,23.47926199261993,284.1792619926199,30.0,-759.3599999999999,-729.3599999999999,88,60,58,42,40
